Pipe_Size_mm,Thickness_mm,Material,Grade,Max_Pressure_psi,Temperature_C,Corrosion_Impact_Percent,Thickness_Loss_mm,Material_Loss_Percent,Time_Years,Condition,pH,flowrate_cmh,source
1000.0,32.89,Stainless Steel,ASTM A333 Grade 6,600.0,56.9,4.01,0.84,2.55,7.0,Normal,8.47,10861.87,original
250.0,12.89,Carbon Steel,ASTM A106 Grade B,300.0,145.6,2.45,4.19,32.51,16.0,Moderate,8.23,309.16,original
1000.0,32.87,Stainless Steel,ASTM A333 Grade 6,600.0,21.6,17.26,8.39,25.52,3.0,Critical,7.86,10861.87,original
1500.0,28.73,HDPE,ASTM A106 Grade B,300.0,117.3,4.55,1.97,6.86,12.0,Normal,8.46,12801.37,original
100.0,4.62,HDPE,API 5L X42,1500.0,52.5,16.62,1.79,38.74,3.0,Normal,8.36,72.38,original
150.0,6.81,Fiberglass,API 5L X65,1500.0,62.4,16.1,5.52,81.06,4.0,Critical,7.87,191.13,original
1500.0,30.19,Stainless Steel,ASTM A106 Grade B,150.0,109.0,13.0,0.22,0.73,14.0,Normal,8.39,6400.68,original
1000.0,24.79,HDPE,ASTM A333 Grade 6,1500.0,4.7,4.65,4.76,19.2,17.0,Moderate,8.21,10861.87,original
250.0,7.16,HDPE,API 5L X42,2500.0,-23.1,10.24,4.96,69.27,14.0,Moderate,8.16,598.28,original
150.0,5.97,PVC,ASTM A106 Grade B,150.0,35.4,14.28,0.2,3.35,24.0,Normal,8.38,49.38,original
250.0,13.7,Carbon Steel,API 5L X65,2500.0,18.3,0.28,5.94,43.36,13.0,Critical,8.0,598.28,original
300.0,9.65,Carbon Steel,API 5L X42,900.0,58.2,16.16,5.04,52.23,19.0,Critical,7.87,886.68,original
50.0,4.55,PVC,ASTM A333 Grade 6,600.0,51.7,14.89,8.91,195.82,1.0,Critical,7.88,10.18,original
50.0,4.05,PVC,ASTM A333 Grade 6,150.0,63.0,16.94,9.53,235.31,1.0,Critical,7.86,2.63,original
50.0,4.11,Fiberglass,API 5L X65,150.0,44.5,7.24,3.39,82.48,15.0,Moderate,8.19,2.63,original
150.0,8.15,PVC,ASTM A106 Grade B,150.0,-23.9,2.62,0.2,2.45,5.0,Normal,8.48,49.38,original
1000.0,17.26,Fiberglass,ASTM A333 Grade 6,1500.0,-8.0,1.79,5.56,32.21,9.0,Critical,7.99,10861.87,original
250.0,7.17,Fiberglass,ASTM A333 Grade 6,150.0,84.7,16.86,2.91,40.59,14.0,Moderate,8.11,154.58,original
1200.0,24.53,Fiberglass,ASTM A333 Grade 6,600.0,62.4,16.22,4.93,20.1,10.0,Moderate,8.11,15747.67,original
600.0,17.32,Carbon Steel,API 5L X65,150.0,59.8,0.84,7.74,44.69,1.0,Critical,7.99,983.01,original
1000.0,30.64,Carbon Steel,ASTM A106 Grade B,2500.0,148.7,3.25,1.06,3.46,11.0,Normal,8.47,10861.87,original
100.0,5.96,Stainless Steel,ASTM A106 Grade B,150.0,116.7,2.42,0.45,7.55,23.0,Normal,8.48,18.7,original
400.0,12.67,Carbon Steel,API 5L X42,150.0,0.1,17.04,0.37,2.92,5.0,Normal,8.36,421.96,original
800.0,21.57,Carbon Steel,ASTM A333 Grade 6,150.0,-4.3,10.97,6.17,28.6,9.0,Critical,7.91,1777.84,original
50.0,3.6,Fiberglass,API 5L X42,2500.0,20.2,15.29,7.69,213.61,2.0,Critical,7.87,10.18,original
1500.0,21.15,PVC,API 5L X65,600.0,109.7,18.84,0.93,4.4,1.0,Normal,8.34,24772.84,original
800.0,29.98,PVC,API 5L X52,1500.0,9.8,14.24,1.84,6.14,5.0,Normal,8.38,6880.84,original
800.0,28.85,Stainless Steel,API 5L X65,2500.0,57.3,6.62,9.51,32.96,19.0,Critical,7.94,6880.84,original
600.0,12.82,HDPE,ASTM A333 Grade 6,300.0,54.9,2.95,9.19,71.68,15.0,Critical,7.98,1966.02,original
150.0,6.12,Carbon Steel,API 5L X52,1500.0,42.6,12.29,6.31,103.1,17.0,Critical,7.9,191.13,original
1500.0,34.37,Carbon Steel,API 5L X42,900.0,64.9,17.54,0.83,2.41,25.0,Normal,8.35,24772.84,original
100.0,6.71,Fiberglass,API 5L X65,300.0,28.6,12.61,0.59,8.79,19.0,Normal,8.39,37.4,original
800.0,18.86,Fiberglass,API 5L X42,900.0,16.9,12.16,3.96,21.0,11.0,Moderate,8.15,6880.84,original
250.0,12.79,Fiberglass,ASTM A106 Grade B,2500.0,16.8,18.35,0.02,0.16,21.0,Normal,8.35,598.28,original
1200.0,24.48,HDPE,ASTM A333 Grade 6,900.0,30.8,4.34,6.35,25.94,1.0,Critical,7.96,15747.67,original
50.0,5.73,HDPE,ASTM A333 Grade 6,1500.0,136.8,16.74,3.89,67.89,4.0,Moderate,8.11,10.18,original
600.0,28.18,Carbon Steel,API 5L X52,1500.0,-28.3,0.69,1.67,5.93,1.0,Normal,8.49,3804.59,original
1500.0,36.91,PVC,API 5L X65,2500.0,77.7,18.28,9.53,25.82,9.0,Critical,7.85,24772.84,original
600.0,10.56,HDPE,API 5L X52,150.0,58.6,0.2,6.37,60.32,13.0,Critical,8.0,983.01,original
500.0,24.81,PVC,ASTM A333 Grade 6,300.0,8.8,5.78,0.87,3.51,19.0,Normal,8.45,1346.53,original
800.0,19.87,Stainless Steel,ASTM A106 Grade B,600.0,20.3,7.6,4.65,23.4,7.0,Moderate,8.19,6880.84,original
1000.0,31.7,Carbon Steel,API 5L X52,600.0,38.8,0.09,4.1,12.93,11.0,Moderate,8.25,10861.87,original
300.0,14.23,HDPE,ASTM A106 Grade B,900.0,77.8,16.27,1.51,10.61,14.0,Normal,8.36,886.68,original
600.0,28.35,Stainless Steel,ASTM A106 Grade B,150.0,37.4,14.36,9.06,31.96,2.0,Critical,7.88,983.01,original
1000.0,33.18,PVC,API 5L X52,2500.0,51.3,9.27,3.64,10.97,25.0,Moderate,8.17,10861.87,original
400.0,13.52,HDPE,API 5L X65,900.0,87.1,4.63,0.36,2.66,5.0,Normal,8.46,1633.13,original
300.0,17.13,PVC,API 5L X65,150.0,77.4,5.6,6.28,36.66,9.0,Critical,7.95,229.1,original
100.0,4.43,Fiberglass,API 5L X42,150.0,-38.9,17.62,5.55,125.28,5.0,Critical,7.85,18.7,original
500.0,22.0,Fiberglass,API 5L X65,900.0,28.7,10.3,0.18,0.82,16.0,Normal,8.41,2605.76,original
50.0,4.71,Fiberglass,ASTM A106 Grade B,300.0,29.2,2.9,9.97,211.68,13.0,Critical,7.98,5.26,original
50.0,5.89,Carbon Steel,ASTM A333 Grade 6,1500.0,-12.3,12.98,4.68,79.46,21.0,Moderate,8.14,10.18,original
150.0,6.26,PVC,ASTM A333 Grade 6,150.0,61.2,4.65,5.72,91.37,23.0,Critical,7.96,49.38,original
300.0,8.07,Fiberglass,API 5L X52,600.0,-19.0,4.41,3.18,39.41,6.0,Moderate,8.21,886.68,original
300.0,16.31,Carbon Steel,ASTM A333 Grade 6,2500.0,-37.4,4.32,5.54,33.97,25.0,Critical,7.96,886.68,original
300.0,14.96,Carbon Steel,API 5L X52,2500.0,27.6,14.19,0.63,4.21,2.0,Normal,8.38,886.68,original
300.0,9.27,HDPE,ASTM A333 Grade 6,1500.0,30.6,16.91,0.33,3.56,12.0,Normal,8.36,886.68,original
500.0,14.33,HDPE,ASTM A333 Grade 6,300.0,39.9,10.63,0.23,1.61,9.0,Normal,8.41,1346.53,original
250.0,6.79,Stainless Steel,ASTM A106 Grade B,1500.0,79.5,3.85,3.79,55.82,22.0,Moderate,8.22,598.28,original
50.0,4.96,HDPE,API 5L X42,2500.0,35.6,13.87,7.04,141.94,2.0,Critical,7.88,10.18,original
250.0,12.43,Fiberglass,ASTM A333 Grade 6,1500.0,-31.1,4.23,2.92,23.49,14.0,Moderate,8.21,598.28,original
500.0,13.73,Fiberglass,ASTM A106 Grade B,2500.0,72.9,13.47,8.6,62.64,9.0,Critical,7.89,2605.76,original
100.0,4.03,PVC,ASTM A106 Grade B,2500.0,70.0,3.71,0.59,14.64,8.0,Normal,8.47,72.38,original
500.0,24.1,Fiberglass,ASTM A333 Grade 6,900.0,2.1,18.06,0.47,1.95,22.0,Normal,8.35,2605.76,original
100.0,7.55,Fiberglass,ASTM A106 Grade B,1500.0,109.9,7.63,7.12,94.3,10.0,Critical,7.94,72.38,original
1200.0,31.11,Carbon Steel,ASTM A333 Grade 6,2500.0,22.7,15.45,8.01,25.75,10.0,Critical,7.87,15747.67,original
400.0,14.91,Stainless Steel,API 5L X42,2500.0,0.1,10.44,8.8,59.02,22.0,Critical,7.91,1633.13,original
1200.0,27.92,HDPE,ASTM A333 Grade 6,1500.0,60.3,10.0,8.04,28.8,7.0,Critical,7.92,15747.67,original
1000.0,20.11,Carbon Steel,ASTM A333 Grade 6,900.0,53.7,10.5,3.18,15.81,13.0,Moderate,8.16,10861.87,original
200.0,6.69,Carbon Steel,API 5L X42,2500.0,129.8,9.16,6.56,98.06,7.0,Critical,7.92,366.44,original
300.0,11.47,Fiberglass,ASTM A333 Grade 6,900.0,137.9,6.96,5.22,45.51,14.0,Critical,7.94,886.68,original
1500.0,28.64,Stainless Steel,API 5L X52,2500.0,-24.8,2.35,2.39,8.34,10.0,Moderate,8.23,24772.84,original
800.0,19.01,PVC,API 5L X65,1500.0,41.1,8.52,5.25,27.62,17.0,Critical,7.93,6880.84,original
150.0,5.34,HDPE,API 5L X65,300.0,7.6,8.19,6.94,129.96,25.0,Critical,7.93,98.77,original
600.0,23.37,Stainless Steel,ASTM A333 Grade 6,900.0,68.5,2.53,8.45,36.16,22.0,Critical,7.98,3804.59,original
600.0,14.07,Carbon Steel,API 5L X42,600.0,3.7,5.98,6.0,42.64,2.0,Critical,7.95,3804.59,original
200.0,10.46,Carbon Steel,API 5L X65,1500.0,5.0,7.88,6.02,57.55,3.0,Critical,7.93,366.44,original
50.0,4.77,Carbon Steel,ASTM A333 Grade 6,1500.0,65.9,6.41,8.5,178.2,21.0,Critical,7.95,10.18,original
1500.0,32.08,PVC,ASTM A106 Grade B,2500.0,39.5,9.54,9.73,30.33,13.0,Critical,7.92,24772.84,original
1000.0,26.09,HDPE,API 5L X42,2500.0,59.5,14.82,2.64,10.12,23.0,Moderate,8.13,10861.87,original
200.0,8.99,PVC,API 5L X52,300.0,37.7,19.4,8.47,94.22,11.0,Critical,7.84,189.36,original
200.0,10.29,Stainless Steel,API 5L X42,300.0,127.4,14.07,2.59,25.17,12.0,Moderate,8.13,189.36,original
1200.0,31.05,Carbon Steel,ASTM A106 Grade B,1500.0,32.9,8.93,1.23,3.96,1.0,Normal,8.43,15747.67,original
500.0,18.1,HDPE,API 5L X52,2500.0,103.7,17.81,1.45,8.01,13.0,Normal,8.35,2605.76,original
50.0,4.77,HDPE,ASTM A333 Grade 6,150.0,13.4,0.28,7.41,155.35,7.0,Critical,8.0,2.63,original
1500.0,42.64,Fiberglass,ASTM A333 Grade 6,300.0,106.8,12.28,7.63,17.89,16.0,Critical,7.9,12801.37,original
600.0,10.33,Stainless Steel,ASTM A106 Grade B,600.0,74.5,7.45,2.37,22.94,6.0,Moderate,8.19,3804.59,original
300.0,14.32,Carbon Steel,API 5L X52,600.0,25.0,18.29,8.2,57.26,5.0,Critical,7.85,886.68,original
800.0,30.66,HDPE,API 5L X52,600.0,105.4,12.33,1.45,4.73,10.0,Normal,8.4,6880.84,original
150.0,6.98,Carbon Steel,API 5L X52,300.0,51.1,15.43,4.03,57.74,8.0,Moderate,8.12,98.77,original
600.0,12.2,PVC,ASTM A106 Grade B,300.0,-11.6,15.77,2.18,17.87,19.0,Moderate,8.12,1966.02,original
500.0,23.91,Fiberglass,ASTM A333 Grade 6,300.0,76.2,12.37,5.67,23.71,12.0,Critical,7.9,1346.53,original
1200.0,32.57,PVC,API 5L X42,300.0,96.5,12.31,6.7,20.57,19.0,Critical,7.9,8137.61,original
1000.0,24.79,PVC,API 5L X42,600.0,14.4,0.88,6.86,27.67,2.0,Critical,7.99,10861.87,original
250.0,10.21,Stainless Steel,ASTM A333 Grade 6,600.0,32.1,6.22,4.53,44.37,21.0,Moderate,8.2,598.28,original
800.0,14.17,Fiberglass,API 5L X65,150.0,36.0,4.86,3.33,23.5,7.0,Moderate,8.21,1777.84,original
800.0,21.79,PVC,API 5L X52,2500.0,44.2,14.79,7.24,33.23,5.0,Critical,7.88,6880.84,original
100.0,7.29,Stainless Steel,API 5L X52,150.0,-15.8,3.59,7.32,100.41,7.0,Critical,7.97,18.7,original
150.0,9.03,PVC,API 5L X52,300.0,19.7,9.65,6.02,66.67,14.0,Critical,7.92,98.77,original
200.0,9.41,HDPE,ASTM A106 Grade B,150.0,5.3,12.74,6.06,64.4,24.0,Critical,7.89,94.68,original
150.0,9.16,Carbon Steel,API 5L X52,600.0,7.9,16.16,2.61,28.49,10.0,Moderate,8.12,191.13,original
250.0,6.69,Fiberglass,ASTM A333 Grade 6,1500.0,-32.5,5.99,9.03,134.98,12.0,Critical,7.95,598.28,original
150.0,5.88,PVC,API 5L X52,150.0,14.0,4.28,6.13,104.25,13.0,Critical,7.96,49.38,original
1000.0,22.09,Carbon Steel,API 5L X42,600.0,13.1,19.73,9.28,42.01,3.0,Critical,7.84,10861.87,original
1200.0,25.68,HDPE,ASTM A333 Grade 6,600.0,46.6,17.66,6.07,23.64,13.0,Critical,7.85,15747.67,original
50.0,4.8,Carbon Steel,ASTM A106 Grade B,1500.0,125.6,18.25,0.92,19.17,18.0,Normal,8.35,10.18,original
500.0,9.8,PVC,API 5L X65,2500.0,26.2,10.34,3.2,32.65,14.0,Moderate,8.16,2605.76,original
100.0,7.07,Stainless Steel,API 5L X65,150.0,12.5,3.04,5.78,81.75,21.0,Critical,7.97,18.7,original
400.0,17.39,Fiberglass,API 5L X65,150.0,-12.8,12.59,7.23,41.58,2.0,Critical,7.9,421.96,original
150.0,7.94,Carbon Steel,API 5L X42,2500.0,57.2,10.79,4.92,61.96,15.0,Moderate,8.16,191.13,original
250.0,7.29,Fiberglass,API 5L X52,1500.0,140.1,16.13,5.7,78.19,16.0,Critical,7.87,598.28,original
1000.0,29.55,Fiberglass,ASTM A333 Grade 6,1500.0,82.5,1.26,0.24,0.81,25.0,Normal,8.49,10861.87,original
1200.0,35.76,PVC,API 5L X65,2500.0,-15.3,10.6,2.45,6.85,5.0,Moderate,8.16,15747.67,original
600.0,26.97,Carbon Steel,ASTM A333 Grade 6,1500.0,82.0,16.29,1.53,5.67,22.0,Normal,8.36,3804.59,original
400.0,10.27,PVC,API 5L X65,300.0,40.1,8.69,6.45,62.8,16.0,Critical,7.93,843.92,original
200.0,7.56,Stainless Steel,API 5L X52,2500.0,79.8,0.0,5.88,77.78,9.0,Critical,8.0,366.44,original
150.0,9.25,Fiberglass,API 5L X65,2500.0,22.3,2.35,6.26,67.68,18.0,Critical,7.98,191.13,original
800.0,17.64,Fiberglass,ASTM A333 Grade 6,300.0,13.5,14.19,6.31,35.77,9.0,Critical,7.88,3555.68,original
50.0,5.21,Stainless Steel,API 5L X65,150.0,74.0,0.87,5.35,102.69,5.0,Critical,7.99,2.63,original
800.0,28.66,Fiberglass,API 5L X65,1500.0,149.7,8.48,7.29,25.44,19.0,Critical,7.93,6880.84,original
300.0,10.01,HDPE,ASTM A106 Grade B,1500.0,-4.9,13.56,2.37,23.68,19.0,Moderate,8.14,886.68,original
400.0,16.52,Fiberglass,API 5L X52,2500.0,12.9,16.78,9.54,57.75,12.0,Critical,7.86,1633.13,original
1500.0,31.97,Carbon Steel,API 5L X65,600.0,59.8,5.15,2.33,7.29,15.0,Moderate,8.21,24772.84,original
1500.0,34.61,HDPE,API 5L X52,300.0,61.6,1.92,6.26,18.09,19.0,Critical,7.98,12801.37,original
1200.0,20.19,HDPE,API 5L X42,150.0,32.6,15.86,8.05,39.87,24.0,Critical,7.87,4068.81,original
100.0,7.71,PVC,API 5L X65,2500.0,24.0,16.28,3.09,40.08,15.0,Moderate,8.11,72.38,original
400.0,13.4,Carbon Steel,ASTM A106 Grade B,2500.0,-15.2,18.13,1.17,8.73,13.0,Normal,8.35,1633.13,original
1500.0,40.94,Stainless Steel,API 5L X65,2500.0,-14.8,18.53,2.56,6.25,19.0,Moderate,8.1,24772.84,original
250.0,7.48,Stainless Steel,ASTM A106 Grade B,2500.0,134.3,6.05,0.37,4.95,5.0,Normal,8.45,598.28,original
200.0,11.25,Carbon Steel,API 5L X42,600.0,13.1,2.48,2.04,18.13,12.0,Moderate,8.23,366.44,original
150.0,8.6,HDPE,ASTM A333 Grade 6,600.0,17.9,8.62,6.66,77.44,25.0,Critical,7.93,191.13,original
500.0,14.61,Fiberglass,API 5L X42,300.0,6.6,9.87,5.99,41.0,21.0,Critical,7.92,1346.53,original
500.0,13.76,Fiberglass,ASTM A333 Grade 6,2500.0,73.2,18.91,5.14,37.35,3.0,Critical,7.84,2605.76,original
250.0,6.77,Carbon Steel,ASTM A106 Grade B,2500.0,69.1,6.58,1.41,20.83,13.0,Normal,8.45,598.28,original
100.0,5.12,Stainless Steel,ASTM A106 Grade B,900.0,53.0,0.64,1.11,21.68,12.0,Normal,8.49,72.38,original
1500.0,27.3,Fiberglass,API 5L X65,1500.0,115.2,13.79,0.67,2.45,18.0,Normal,8.39,24772.84,original
250.0,9.59,Fiberglass,ASTM A106 Grade B,150.0,18.5,17.18,2.35,24.5,6.0,Moderate,8.11,154.58,original
100.0,6.02,PVC,API 5L X42,1500.0,50.7,18.36,2.37,39.37,23.0,Moderate,8.1,72.38,original
600.0,14.75,Carbon Steel,ASTM A333 Grade 6,600.0,2.1,5.36,3.17,21.49,11.0,Moderate,8.21,3804.59,original
500.0,23.95,HDPE,ASTM A333 Grade 6,900.0,37.7,15.5,2.41,10.06,15.0,Moderate,8.12,2605.76,original
800.0,23.11,Carbon Steel,ASTM A333 Grade 6,900.0,-2.2,14.62,1.73,7.49,25.0,Normal,8.38,6880.84,original
250.0,12.68,Fiberglass,API 5L X52,1500.0,35.5,16.9,7.72,60.88,2.0,Critical,7.86,598.28,original
1200.0,19.16,Fiberglass,API 5L X65,900.0,74.7,18.91,6.59,34.39,2.0,Critical,7.84,15747.67,original
50.0,4.86,Stainless Steel,ASTM A106 Grade B,600.0,3.8,3.33,6.67,137.24,24.0,Critical,7.97,10.18,original
1200.0,36.87,PVC,API 5L X52,900.0,-4.7,1.58,9.91,26.88,20.0,Critical,7.99,15747.67,original
150.0,6.53,PVC,API 5L X42,2500.0,65.9,8.49,4.53,69.37,8.0,Moderate,8.18,191.13,original
800.0,20.03,Fiberglass,API 5L X65,150.0,127.3,12.76,5.29,26.41,16.0,Critical,7.89,1777.84,original
400.0,8.22,Carbon Steel,API 5L X52,2500.0,31.5,13.61,8.46,102.92,12.0,Critical,7.89,1633.13,original
1200.0,27.43,HDPE,API 5L X42,600.0,12.7,14.29,1.36,4.96,23.0,Normal,8.38,15747.67,original
1200.0,19.82,Stainless Steel,API 5L X42,600.0,85.7,19.05,0.72,3.63,14.0,Normal,8.34,15747.67,original
600.0,18.74,Carbon Steel,ASTM A333 Grade 6,1500.0,62.7,2.68,6.42,34.26,9.0,Critical,7.98,3804.59,original
1000.0,15.83,Carbon Steel,API 5L X65,300.0,-3.4,11.42,7.82,49.4,23.0,Critical,7.9,5612.87,original
150.0,5.44,Stainless Steel,API 5L X52,1500.0,108.5,18.25,2.04,37.5,18.0,Moderate,8.1,191.13,original
300.0,15.59,PVC,ASTM A106 Grade B,2500.0,74.1,1.08,0.15,0.96,5.0,Normal,8.49,886.68,original
500.0,10.26,Fiberglass,ASTM A333 Grade 6,300.0,18.4,5.02,0.34,3.31,2.0,Normal,8.46,1346.53,original
800.0,16.83,Stainless Steel,ASTM A333 Grade 6,150.0,55.2,9.75,6.78,40.29,6.0,Critical,7.92,1777.84,original
1500.0,35.0,Carbon Steel,API 5L X42,1500.0,32.3,1.14,1.92,5.49,16.0,Normal,8.49,24772.84,original
100.0,5.67,Fiberglass,API 5L X52,300.0,17.4,15.91,8.0,141.09,24.0,Critical,7.87,37.4,original
500.0,12.23,Fiberglass,API 5L X52,2500.0,69.3,17.33,8.69,71.05,1.0,Critical,7.86,2605.76,original
150.0,7.41,Fiberglass,ASTM A106 Grade B,2500.0,-8.2,18.23,2.15,29.01,16.0,Moderate,8.1,191.13,original
1000.0,25.42,PVC,ASTM A106 Grade B,150.0,39.1,6.15,6.63,26.08,12.0,Critical,7.95,2806.44,original
200.0,10.46,Stainless Steel,API 5L X65,150.0,-7.0,19.9,8.3,79.35,10.0,Critical,7.83,94.68,original
600.0,16.19,Carbon Steel,ASTM A333 Grade 6,600.0,12.1,15.73,8.8,54.35,25.0,Critical,7.87,3804.59,original
100.0,5.39,HDPE,ASTM A333 Grade 6,900.0,44.7,7.35,0.21,3.9,8.0,Normal,8.44,72.38,original
1200.0,34.55,Stainless Steel,API 5L X65,600.0,105.6,8.83,3.41,9.87,2.0,Moderate,8.18,15747.67,original
400.0,12.07,PVC,API 5L X65,300.0,78.0,9.28,9.52,78.87,2.0,Critical,7.92,843.92,original
600.0,13.15,PVC,API 5L X42,900.0,8.1,0.88,4.64,35.29,16.0,Moderate,8.24,3804.59,original
300.0,10.17,Stainless Steel,API 5L X42,300.0,85.2,7.37,0.9,8.85,23.0,Normal,8.44,458.19,original
600.0,14.68,HDPE,API 5L X65,300.0,65.1,16.73,0.85,5.79,25.0,Normal,8.36,1966.02,original
250.0,9.4,Fiberglass,ASTM A106 Grade B,2500.0,49.4,7.59,7.76,82.55,14.0,Critical,7.94,598.28,original
300.0,9.45,HDPE,API 5L X42,2500.0,35.6,12.61,5.43,57.46,3.0,Critical,7.89,886.68,original
50.0,5.22,PVC,ASTM A106 Grade B,900.0,110.5,18.51,7.59,145.4,10.0,Critical,7.85,10.18,original
300.0,10.52,Fiberglass,ASTM A106 Grade B,1500.0,99.2,19.04,3.39,32.22,19.0,Moderate,8.09,886.68,original
200.0,7.81,Fiberglass,API 5L X52,150.0,12.2,4.41,0.35,4.48,12.0,Normal,8.46,94.68,original
1200.0,35.28,Fiberglass,API 5L X65,900.0,75.8,0.43,0.43,1.22,5.0,Normal,8.5,15747.67,original
250.0,8.88,PVC,API 5L X42,600.0,51.3,8.29,0.51,5.74,14.0,Normal,8.43,598.28,original
50.0,4.48,Fiberglass,API 5L X42,2500.0,7.1,16.35,4.56,101.79,16.0,Moderate,8.11,10.18,original
100.0,6.06,PVC,API 5L X42,2500.0,127.7,2.4,8.96,147.85,22.0,Critical,7.98,72.38,original
100.0,7.34,PVC,API 5L X42,600.0,19.2,5.91,7.41,100.95,23.0,Critical,7.95,72.38,original
250.0,12.12,PVC,API 5L X65,2500.0,60.7,6.85,5.47,45.13,23.0,Critical,7.94,598.28,original
1000.0,25.02,PVC,API 5L X52,900.0,16.0,15.69,5.17,20.66,1.0,Critical,7.87,10861.87,original
250.0,14.96,PVC,API 5L X42,2500.0,129.2,9.53,9.0,60.16,9.0,Critical,7.92,598.28,original
1500.0,30.96,PVC,ASTM A106 Grade B,150.0,-37.1,17.86,9.21,29.75,8.0,Critical,7.85,6400.68,original
250.0,14.22,PVC,ASTM A106 Grade B,300.0,40.6,18.47,8.16,57.38,21.0,Critical,7.85,309.16,original
100.0,6.95,Fiberglass,API 5L X52,2500.0,88.3,13.98,9.08,130.65,25.0,Critical,7.88,72.38,original
150.0,6.91,HDPE,API 5L X52,600.0,0.5,16.27,6.74,97.54,22.0,Critical,7.86,191.13,original
300.0,13.13,Stainless Steel,ASTM A106 Grade B,150.0,-18.5,12.74,2.12,16.15,19.0,Moderate,8.14,229.1,original
50.0,5.83,PVC,API 5L X42,150.0,18.7,16.74,0.05,0.86,5.0,Normal,8.36,2.63,original
50.0,4.5,PVC,API 5L X42,150.0,48.2,18.04,0.25,5.56,12.0,Normal,8.35,2.63,original
1000.0,21.84,HDPE,API 5L X42,2500.0,8.7,12.14,9.75,44.64,4.0,Critical,7.9,10861.87,original
150.0,5.43,HDPE,ASTM A106 Grade B,1500.0,8.9,13.32,5.21,95.95,18.0,Critical,7.89,191.13,original
100.0,6.12,PVC,ASTM A333 Grade 6,300.0,1.7,12.05,7.16,116.99,12.0,Critical,7.9,37.4,original
50.0,4.3,Stainless Steel,API 5L X42,300.0,127.1,0.92,4.79,111.4,13.0,Moderate,8.24,5.26,original
1200.0,31.01,PVC,API 5L X42,900.0,27.2,5.0,3.03,9.77,9.0,Moderate,8.21,15747.67,original
1200.0,28.75,HDPE,ASTM A333 Grade 6,150.0,31.1,7.43,2.1,7.3,13.0,Moderate,8.19,4068.81,original
200.0,6.88,HDPE,ASTM A333 Grade 6,600.0,56.6,3.37,0.35,5.09,25.0,Normal,8.47,366.44,original
